Year,S_Month,S_Day,S_hr,S_min,M_Month,M_Day,M_hr,M_min,R_Month,R_Day,R_hr,R_min
2000,02,11,04,06,02,12,11,34,02,13,18,27
2000,04,06,16,46,04,07,00,10,04,08,11,20
2000,05,24,01,58,05,24,03,48,05,26,09,22
2000,07,15,15,05,07,15,21,54,07,17,08,07
2001,04,11,15,22,04,11,23,57,04,13,02,01
2001,10,21,16,52,10,21,21,28,10,24,02,05
2001,11,05,19,01,11,06,04,06,11,07,22,23
2001,11,24,06,04,11,24,12,37,11,26,12,04
2002,03,23,11,41,03,24,08,49,03,25,14,59
2002,05,11,10,26,05,11,19,57,05,13,08,01
2002,05,23,11,02,05,23,17,00,05,25,21,07
2002,08,01,23,13,08,02,04,55,08,02,15,46
2002,08,20,15,47,08,21,05,56,08,21,22,49
2002,09,04,02,08,09,04,05,22,09,05,04,44
2002,09,07,16,41,09,08,00,02,09,08,20,22
2002,10,01,06,15,10,01,12,53,10,02,22,57
2003,05,29,16,57,05,30,01,58,05,30,16,34
2003,08,17,14,25,08,18,14,32,08,19,17,30
2003,11,20,08,11,11,20,18,18,11,21,17,37
2004,04,03,14,47,04,04,00,43,04,04,12,31
2004,08,30,01,00,08,30,22,53,09,02,03,57
2004,11,07,19,20,11,08,05,55,11,08,21,35
2005,05,15,06,15,05,15,08,21,05,17,00,55
2005,08,24,09,02,08,24,11,50,08,25,21,46
2006,12,14,22,28,12,15,00,55,12,16,04,15
